Index, StateCode, StateName, CountyName, CityName, Latitude, Longitude, Zip_Code, Average_Temperature, Maximum_Monthly_Highs, Minimum_Monthly_Lows
58,AK,Alaska,LakeAndPeninsula,Egegik,58.206174,-157.342202,99579,35.1,63.8,8.8
59,AK,Alaska,FairbanksNorthStar,EielsonAfb,64.67352,-147.08051,99702,27.60833333333333,71.9,-15.5
60,AK,Alaska,Dillingham,Ekwok,59.362792,-157.478211,99580,34.15833333333333,61.2,9.5
61,AK,Alaska,SkagwayHoonahAngoon,ElfinCove,58.195,-136.358333,99825,42.949999999999996,59.0,29.9
62,AK,Alaska,Nome,Elim,64.621662,-162.260371,99739,22.725000000000005,59.5,-9.5
63,AK,Alaska,Anchorage,ElmendorfAfb,61.251531,-149.812667,99506,36.23333333333333,65.0,7.8
64,AK,Alaska,WadeHampton,Emmonak,62.827404,-164.131298,99581,27.349999999999994,58.2,-2.8
65,AK,Alaska,FairbanksNorthStar,Ester,64.846667,-148.016667,99725,25.741666666666664,73.8,-17.7
66,AK,Alaska,FairbanksNorthStar,Fairbanks,64.840238,-147.710431,99701,28.625,73.6,-13.6
67,AK,Alaska,AleutiansEast,FalsePass,54.841028,-163.436845,99583,38.75000000000001,56.5,23.6
68,AK,Alaska,SoutheastFairbanks,FortGreely,64.036667,-145.733333,99731,28.89166666666667,69.2,-7.8
69,AK,Alaska,Anchorage,FortRichardson,61.275256,-149.675454,99505,35.55833333333334,65.2,8.7
70,AK,Alaska,FairbanksNorthStar,FortWainwright,64.828303,-147.655673,99703,28.625,73.6,-13.6
71,AK,Alaska,YukonKoyukuk,FortYukon,66.520744,-145.306439,99740,22.141666666666666,73.3,-24.0
72,AK,Alaska,ValdezCordova,Gakona,62.654744,-143.568393,99586,27.033333333333328,68.7,-10.7
73,AK,Alaska,YukonKoyukuk,Galena,64.760784,-156.797701,99741,25.958333333333332,70.9,-17.6
74,AK,Alaska,Nome,Gambell,63.776555,-171.701685,99742,21.575000000000003,51.5,-8.0
75,AK,Alaska,Anchorage,Girdwood,60.9425,-149.166389,99587,37.84166666666667,65.1,16.6
76,AK,Alaska,ValdezCordova,Glennallen,62.103895,-145.661684,99588,27.008333333333336,70.5,-14.2
77,AK,Alaska,Bethel,GoodnewsBay,59.085008,-161.587146,99589,30.624999999999996,63.4,0.8
78,AK,Alaska,YukonKoyukuk,Grayling,63.372013,-159.404907,99590,25.125,67.9,-15.5
79,AK,Alaska,SkagwayHoonahAngoon,Gustavus,58.42835,-135.761542,99826,41.108333333333334,63.8,22.1
80,AK,Alaska,Haines,Haines,59.251886,-135.542032,99827,41.016666666666666,63.8,18.0
81,AK,Alaska,Denali,Healy,63.917123,-149.011128,99743,29.683333333333337,69.0,-7.6
82,AK,Alaska,YukonKoyukuk,HolyCross,62.192584,-159.825092,99602,25.125,67.9,-15.5
83,AK,Alaska,KenaiPeninsula,Homer,59.665495,-151.462644,99603,38.69166666666667,61.2,18.8
84,AK,Alaska,SkagwayHoonahAngoon,Hoonah,58.032237,-135.558435,99829,43.07500000000001,64.8,26.3
85,AK,Alaska,WadeHampton,HooperBay,61.537157,-165.891045,99604,27.349999999999994,58.2,-2.8
86,AK,Alaska,KenaiPeninsula,Hope,60.92,-149.641667,99605,36.59166666666667,66.0,11.4
87,AK,Alaska,MatanuskaSusitna,Houston,61.633611,-149.841111,99623,32.699999999999996,69.3,-2.0
88,AK,Alaska,YukonKoyukuk,Hughes,66.038246,-154.26443,99745,25.366666666666664,71.7,-17.2
89,AK,Alaska,YukonKoyukuk,Huslia,65.689918,-156.291976,99746,25.958333333333332,70.9,-17.6
90,AK,Alaska,PrinceWalesKetchikan,Hydaburg,55.137406,-132.633175,99922,46.09166666666666,64.4,32.4
91,AK,Alaska,PrinceWalesKetchikan,Hyder,55.925867,-130.124915,99923,45.84166666666667,65.8,30.6
92,AK,Alaska,LakeAndPeninsula,Iliamna,59.564836,-155.462556,99606,35.75,62.7,11.5
93,AK,Alaska,Anchorage,Indian,60.9804,-149.4917,99540,36.59166666666667,66.0,11.4
94,AK,Alaska,Juneau,Juneau,58.362767,-134.529429,99801,42.05833333333332,63.9,23.7
95,AK,Alaska,WrangellPetersburg,Kake,56.975833,-133.947222,99830,43.824999999999996,62.6,29.8
96,AK,Alaska,NorthSlope,Kaktovik,70.042889,-143.631329,99747,22.141666666666666,73.3,-24.0
97,AK,Alaska,Bethel,Kalskag,61.541006,-160.3261,99607,30.624999999999996,63.4,0.8
98,AK,Alaska,YukonKoyukuk,Kaltag,64.330452,-158.724251,99748,25.125,67.9,-15.5
99,AK,Alaska,KodiakIsland,Karluk,57.57,-154.458333,99608,40.86666666666666,61.3,25.9
100,AK,Alaska,Bethel,Kasigluk,60.895556,-162.520556,99609,30.624999999999996,63.4,0.8
101,AK,Alaska,KenaiPeninsula,Kasilof,60.316365,-151.28958,99610,34.6,61.3,9.9
102,AK,Alaska,KenaiPeninsula,Kenai,60.614467,-151.254556,99611,36.108333333333334,64.2,8.1
103,AK,Alaska,KetchikanGateway,Ketchikan,55.372028,-131.683175,99901,45.074999999999996,64.2,30.1
104,AK,Alaska,NorthwestArctic,Kiana,67.18026,-158.152204,99749,25.958333333333332,70.9,-17.6
105,AK,Alaska,AleutiansEast,KingCove,55.062848,-162.305561,99612,38.75000000000001,56.5,23.6
106,AK,Alaska,BristolBay,KingSalmon,58.724264,-156.641603,99549,35.1,63.8,8.8
107,AK,Alaska,Bethel,Kipnuk,59.923204,-164.101013,99614,30.624999999999996,63.4,0.8
108,AK,Alaska,NorthwestArctic,Kivalina,67.665859,-163.733617,99750,21.441666666666666,55.9,-10.8
109,AK,Alaska,PrinceWalesKetchikan,Klawock,55.552611,-133.055503,99925,45.44166666666667,65.0,31.1
110,AK,Alaska,NorthwestArctic,Kobuk,66.912253,-157.066864,99751,25.958333333333332,70.9,-17.6
111,AK,Alaska,KodiakIsland,Kodiak,57.781967,-152.500169,99615,40.86666666666666,61.3,25.9
112,AK,Alaska,Bethel,Kongiganak,60.9888,-149.4116,99545,36.59166666666667,66.0,11.4
113,AK,Alaska,WadeHampton,Kotlik,63.029471,-163.554153,99620,27.349999999999994,58.2,-2.8
114,AK,Alaska,NorthwestArctic,Kotzebue,66.846459,-162.126493,99752,22.725000000000005,59.5,-9.5
115,AK,Alaska,Nome,Koyuk,64.931668,-161.149957,99753,22.725000000000005,59.5,-9.5
116,AK,Alaska,YukonKoyukuk,Koyukuk,64.883333,-157.7,99754,25.958333333333332,70.9,-17.6
117,AK,Alaska,Bethel,Kwethluk,60.771814,-161.38849,99621,30.624999999999996,63.4,0.8
118,AK,Alaska,Bethel,Kwigillingok,59.881022,-162.984938,99545,30.624999999999996,63.4,0.8
119,AK,Alaska,YukonKoyukuk,LakeMinchumina,63.903884,-152.430081,99757,25.366666666666664,71.7,-17.2
120,AK,Alaska,KodiakIsland,LarsenBay,57.538333,-153.98,99624,40.86666666666666,61.3,25.9
121,AK,Alaska,LakeAndPeninsula,Levelock,59.371395,-154.976815,99625,35.75,62.7,11.5
122,AK,Alaska,Bethel,LowerKalskag,61.51377,-160.359966,99626,30.624999999999996,63.4,0.8
123,AK,Alaska,YukonKoyukuk,ManleyHotSprings,65.02058,-150.573267,99756,25.366666666666664,71.7,-17.2
124,AK,Alaska,Dillingham,Manokotak,59.009559,-158.989699,99628,34.15833333333333,61.2,9.5
125,AK,Alaska,WadeHampton,Marshall,61.837087,-161.7394,99585,30.624999999999996,63.4,0.8
126,AK,Alaska,YukonKoyukuk,McGrath,62.967153,-155.585153,99627,27.24166666666667,69.3,-15.3
127,AK,Alaska,Bethel,Mekoryuk,60.365679,-166.283583,99630,27.349999999999994,58.2,-2.8
128,AK,Alaska,PrinceWalesKetchikan,Metlakatla,55.121491,-131.579001,99926,46.58333333333334,64.7,32.4
129,AK,Alaska,PrinceWalesKetchikan,MeyersChuck,55.741667,-132.253333,99903,45.074999999999996,64.2,30.1
130,AK,Alaska,YukonKoyukuk,Minto,65.058399,-149.691186,99758,27.116666666666664,72.0,-14.7
131,AK,Alaska,KenaiPeninsula,MoosePass,60.85852,-149.255911,99631,37.84166666666667,65.1,16.6
132,AK,Alaska,WadeHampton,MountainVillage,62.158913,-163.883822,99632,30.624999999999996,63.4,0.8
133,AK,Alaska,BristolBay,Naknek,58.885699,-156.705405,99633,35.1,63.8,8.8
134,AK,Alaska,Bethel,Napakiak,60.663758,-161.738144,99634,30.624999999999996,63.4,0.8
135,AK,Alaska,YukonKoyukuk,Nenana,64.557656,-149.086744,99704,27.116666666666664,72.0,-14.7
136,AK,Alaska,Dillingham,NewStuyahok,59.593533,-157.297205,99636,35.1,63.8,8.8
