County,State_Code,Violent_Crime_Total,Murder,Rape,Robbery,Assault,Burglary,Larceny-Theft,Vehicle_Theft
Franklin,AR,22,,2,1,19,33,87,5
Fulton,AR,11,,3,,8,46,74,15
Garland,AR,505,8,25,95,377,305,1,876
Grant,AR,10,,2,,8,21,69,2
Greene,AR,55,,15,2,38,064,312,691
Hempstead,AR,98,,13,17,68,246,475,43
Hot Spring,AR,131,1,24,17,89,324,411,39
Howard,AR,44,2,4,5,33,129,214,1
Independence,AR,35,2,8,4,21,150,332,753
Izard,AR,13,1,2,1,9,52,65,8
Jackson,AR,77,,8,10,59,163,380,53
Jefferson,AR,698,11,46,170,471,5,494,1
Johnson,AR,5,,1,,4,29,373,14
Lafayette,AR,6,1,2,1,2,8,20,4
Lawrence,AR,2,,1,,1,25,113,10
Lee,AR,33,1,5,7,20,114,148,9
Lincoln,AR,15,2,,3,10,55,66,1
Little River,AR,10,,2,2,6,39,108,16
Logan,AR,48,3,5,1,39,163,202,25
Lonoke,AR,190,2,18,12,158,738,505,1
Madison,AR,35,,2,4,29,38,58,4
Marion,AR,11,,1,,10,33,83,3
Miller,AR,453,3,22,49,379,002,470,1
Mississippi,AR,392,3,32,58,299,800,842,1
Monroe,AR,1,,,,1,12,47,10
Montgomery,AR,9,,,,9,7,8,2
Nevada,AR,57,1,5,6,45,51,76,9
Newton,AR,14,,,1,13,26,42,2
Ouachita,AR,90,2,8,18,62,258,437,33
Perry,AR,29,,2,1,26,60,25,2
Phillips,AR,102,1,12,25,64,444,260,20
Pike,AR,24,,5,,19,39,64,8
Poinsett,AR,96,,9,7,80,368,514,36
Polk,AR,32,,,2,30,118,166,5
Pope,AR,20,1,2,1,16,170,284,17
Prairie,AR,24,2,2,,20,40,52,14
Pulaski,AR,4,426,58,206,1,996,2,816
Randolph,AR,7,,,,7,15,33,5
St. Francis,AR,179,3,6,42,128,501,383,1
Saline,AR,90,,10,5,75,657,292,1
Scott,AR,32,,2,1,29,119,90,16
Searcy,AR,,,,,,,,
Sebastian,AR,841,4,101,95,641,787,1,270
Sevier,AR,25,3,2,2,18,52,129,8
Sharp,AR,34,,5,3,26,70,113,18
Stone,AR,1,,,1,,16,11,1
Union,AR,210,3,7,36,164,803,657,1
Van Buren,AR,15,1,4,,10,49,130,21
Washington,AR,574,9,112,46,407,731,933,4
White,AR,207,3,24,20,160,502,637,1
Woodruff,AR,6,,,,6,9,7,3
Yell,AR,79,,11,2,66,145,88,12
Alameda,CA,9,114,117,472,3,621,9,503
Alpine,CA,11,,3,,8,25,57,
Amador,CA,121,2,19,7,93,148,362,657
Butte,CA,752,6,92,129,525,265,2,452
Calaveras,CA,127,3,11,10,103,002,338,533
Colusa,CA,59,,2,5,52,207,314,55
Contra Costa,CA,4,021,76,205,1,274,4,532
Del Norte,CA,181,1,24,10,146,345,507,72
El Dorado,CA,467,2,45,59,361,106,1,149
Fresno,CA,5,169,69,272,1,287,6,041
Glenn,CA,71,,3,6,62,042,290,619
Humboldt,CA,428,5,52,106,265,145,1,310
Imperial,CA,687,4,34,123,526,619,1,913
