Zipcode, MedianHousePrice, PopulationDensityRating
"10025", 1178500, 0.0,
"60657", 322400, 0.00006506180871828237,
"75070", 322000, 0.00013012361743656474,
"60614", 400000, 0.0001951854261548471,
"79936", 114400, 0.0002602472348731295,
"77084", 163200, 0.00032530904359141186,
"10467", 382500, 0.0003903708523096942,
"60640", 210500, 0.0004554326610279766,
"77449", 170600, 0.000520494469746259,
"94109", 1179900, 0.0005855562784645413,
"11226", 699400, 0.0006506180871828237,
"10016", 1045700, 0.000715679895901106,
"32162", 249300, 0.0007807417046193884,
"11235", 622400, 0.0008458035133376708,
"37013", 206800, 0.0009108653220559532,
"90250", 613500, 0.0009759271307742355,
"60647", 336300, 0.001040988939492518,
"37211", 243900, 0.0011060507482108003,
"60618", 337900, 0.0011711125569290827,
"10128", 1261200, 0.001236174365647365,
"28269", 192700, 0.0013012361743656475,
"11201", 1247800, 0.0013662979830839298,
"79912", 173900, 0.001431359791802212,
"94565", 420200, 0.0014964216005204944,
"30349", 130700, 0.0015614834092387768,
"20002", 625400, 0.0016265452179570592,
"90046", 1393800, 0.0016916070266753415,
"78130", 203600, 0.001756668835393624,
"78613", 280500, 0.0018217306441119063,
"20009", 548400, 0.0018867924528301887,
"10456", 350100, 0.001951854261548471,
"37042", 132200, 0.0020169160702667535,
"11206", 707400, 0.002081977878985036,
"63376", 182300, 0.0021470396877033182,
"60613", 215500, 0.0022121014964216006,
"30044", 182500, 0.002277163305139883,
"73099", 159100, 0.0023422251138581654,
"77036", 115800, 0.0024072869225764478,
"77433", 225900, 0.00247234873129473,
"10463", 556300, 0.0025374105400130125,
"11230", 867700, 0.002602472348731295,
"60629", 161200, 0.0026675341574495773,
"11209", 864600, 0.0027325959661678597,
"60625", 270300, 0.0027976577748861416,
"30043", 228200, 0.002862719583604424,
"75034", 435400, 0.0029277813923227064,
"11212", 422300, 0.002992843201040989,
"75287", 323600, 0.003057905009759271,
"28277", 347600, 0.0031229668184775536,
"85032", 250300, 0.003188028627195836,
"07030", 803500, 0.0032530904359141183,
"11214", 687400, 0.0033181522446324007,
"21234", 203900, 0.003383214053350683,
"33160", 332900, 0.0034482758620689655,
"78521", 77300, 0.003513337670787248,
"23464", 251700, 0.0035783994795055302,
"94501", 999800, 0.0036434612882238126,
"30096", 213700, 0.003708523096942095,
"78704", 526300, 0.0037735849056603774,
"98052", 847700, 0.0038386467143786598,
"77379", 234400, 0.003903708523096942,
"75243", 202900, 0.0039687703318152245,
"11221", 1012500, 0.004033832140533507,
"78245", 158000, 0.004098893949251789,
"11229", 702000, 0.004163955757970072,
"08701", 298000, 0.004229017566688354,
"11207", 383500, 0.0042940793754066365,
"60619", 141800, 0.004359141184124919,
"90034", 1162100, 0.004424202992843201,
"94110", 1460600, 0.004489264801561484,
"30024", 339600, 0.004554326610279766,
"60610", 268300, 0.004619388418998048,
"10019", 1285200, 0.004684450227716331,
"44107", 157300, 0.004749512036434613,
"75067", 239800, 0.0048145738451528955,
"33025", 220200, 0.004879635653871178,
"33411", 286600, 0.00494469746258946,
"33139", 361900, 0.005009759271307743,
"90044", 429300, 0.005074821080026025,
"48197", 204200, 0.0051398828887443074,
"02169", 408100, 0.00520494469746259,
"23462", 198600, 0.005270006506180872,
"90805", 450600, 0.005335068314899155,
"66062", 242200, 0.005400130123617437,
"44035", 94300, 0.005465191932335719,
"95630", 525300, 0.005530253741054001,
"90650", 467500, 0.005595315549772283,
"92683", 643500, 0.005660377358490566,
"85710", 173100, 0.005725439167208848,
"19143", 76200, 0.00579050097592713,
"78745", 285800, 0.005855562784645413,
"10314", 522300, 0.005920624593363695,
"60617", 120300, 0.005985686402081978,
"30281", 153200, 0.00605074821080026,
"32210", 133500, 0.006115810019518542,
"37075", 277700, 0.006180871828236825,
"94558", 618200, 0.006245933636955107,
"60611", 301800, 0.0063109954456733895,
"11215", 1235600, 0.006376057254391672,
"90026", 935600, 0.006441119063109954,
"85225", 251900, 0.006506180871828237,
"91910", 518900, 0.006571242680546519,
"87111", 251900, 0.006636304489264801,
"28027", 206000, 0.006701366297983084,
"06010", 171700, 0.006766428106701366,
"78240", 174200, 0.0068314899154196486,
"87114", 212800, 0.006896551724137931,
"89108", 200900, 0.006961613532856213,
"85308", 281600, 0.007026675341574496,
"11211", 1078200, 0.007091737150292778,
"17603", 152300, 0.0071567989590110605,
"93722", 239000, 0.007221860767729343,
"80134", 459700, 0.007286922576447625,
"48180", 95300, 0.007351984385165908,
"85281", 229300, 0.00741704619388419,
"94533", 371900, 0.007482108002602472,
"15601", 143100, 0.007547169811320755,
"95608", 396100, 0.007612231620039037,
"43055", 113200, 0.0076772934287573195,
"43081", 211400, 0.007742355237475602,
"44060", 164500, 0.007807417046193884,
"80013", 334400, 0.007872478854912166,
"33024", 260400, 0.007937540663630449,
"20906", 327800, 0.00800260247234873,
"33009", 209200, 0.008067664281067014,
"90066", 1310700, 0.008132726089785295,
"43123", 170800, 0.008197787898503579,
"97229", 542200, 0.00826284970722186,
"76028", 196800, 0.008327911515940143,
"91709", 662900, 0.008392973324658425,
"11385", 664800, 0.008458035133376708,
"85364", 129500, 0.00852309694209499,
"14850", 254000, 0.008588158750813273,
"65807", 118600, 0.008653220559531554,
"98012", 557600, 0.008718282368249838,
"92677", 835200, 0.00878334417696812,
"95823", 272000, 0.008848405985686402,
"33908", 238000, 0.008913467794404684,
"44256", 212100, 0.008978529603122967,
"02148", 426800, 0.009043591411841249,
"60620", 138800, 0.009108653220559532,
"27410", 214100, 0.009173715029277814,
"45011", 185800, 0.009238776837996097,
"76063", 264200, 0.009303838646714378,
"33647", 278200, 0.009368900455432662,
"92804", 567700, 0.009433962264150943,
"60634", 254700, 0.009499024072869226,
"08753", 262400, 0.009564085881587508,
"06902", 393800, 0.009629147690305791,
"65203", 203000, 0.009694209499024073,
"47906", 189100, 0.009759271307742356,
"98103", 807300, 0.009824333116460637,
"92345", 245500, 0.00988939492517892,
"92126", 582100, 0.009954456733897202,
"90019", 1134700, 0.010019518542615485,
"43130", 137200, 0.010084580351333767,
"27406", 118700, 0.01014964216005205,
"60016", 218100, 0.010214703968770332,
"46307", 207700, 0.010279765777488615,
"28314", 104400, 0.010344827586206896,
"27610", 160300, 0.01040988939492518,
"89121", 199400, 0.010474951203643461,
"29732", 185700, 0.010540013012361744,
"75056", 277900, 0.010605074821080026,
"30040", 279100, 0.01067013662979831,
"30188", 226400, 0.01073519843851659,
"79938", 132200, 0.010800260247234874,
"92336", 437400, 0.010865322055953155,
"99301", 211500, 0.010930383864671439,
"20011", 562300, 0.01099544567338972,
"77095", 219800, 0.011060507482108002,
"91911", 469300, 0.011125569290826285,
