County, State_Code, Violent_Crime_Total, Murder, Rape, Robbery, Assault, Useless, Property_Crime_Total, Burglary, Larceny-Theft, Vehicle_Theft
Kenai Peninsula, AK ,95,-,12,2,81,128,877,99,736,42,808
Ketchikan Gateway, AK ,41,1,9,3,28,(NA),536,56,437,43,(NA)
Kodiak Island, AK ,41,-,1,-,40,59,208,15,174,19,361
Lake and Peninsula, AK ,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Matanuska-Susitna, AK ,135,-,2,7,126,101,849,72,713,64,823
Nome, AK ,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
North Slope, AK ,55,1,11,4,39,54,195,94,75,26,216
Northwest Arctic, AK ,22,1,3,1,17,159,135,26,92,17,181
Prince of Wales-Outer Ketchikan, AK ,24,-,-,2,22,16,39,5,33,1,106
Sitka, AK ,21,-,9,2,10,18,390,31,331,28,254
Skagway-Hoonah-Angoon, AK ,1,-,-,-,1,(NA),47,1,46,-,(NA)
Southeast Fairbanks, AK ,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Valdez-Cordova, AK ,15,-,-,-,15,22,50,5,43,2,136
Wade Hampton, AK ,(NA),(NA),(NA),(NA),(NA),4,(NA),(NA),(NA),(NA),1
Wrangell-Petersburg, AK ,7,-,-,-,7,56,261,52,189,20,249
Yakutat, AK ,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Yukon-Koyukuk, AK ,(NA),(NA),(NA),(NA),(NA),-,(NA),(NA),(NA),(NA),21
Apache, AZ ,75,-,3,1,71,90,453,128,308,17,529
Cochise, AZ ,928,7,46,50,825,460,4,383,848,3,065,470,4,423
Coconino, AZ ,629,7,65,70,487,486,5,909,879,4,704,326,6,154
Gila, AZ ,242,-,16,10,216,242,1,608,507,993,108,1,619
Graham, AZ ,35,-,-,1,34,62,649,156,463,30,676
Greenlee, AZ ,6,-,-,-,6,4,93,32,61,-,63
La Paz, AZ ,111,-,-,2,109,35,801,167,559,75,649
Maricopa, AZ ,17,075,281,1,064,5,374,10,356,17,002,188,920,35,088,112,386,41,446,175,297
Mohave, AZ ,614,10,26,65,513,495,9,255,2,135,6,198,922,6,354
Navajo, AZ ,353,5,24,20,304,283,2,813,781,1,873,159,2,510
Pima, AZ ,5,883,81,481,1,784,3,537,5,555,63,731,9,109,46,525,8,097,53,484
Pinal, AZ ,920,13,58,140,709,1,081,10,562,3,009,6,059,1,494,7,051
Santa Cruz, AZ ,86,-,1,11,74,129,877,208,511,158,1,095
Yavapai, AZ ,650,4,44,50,552,588,6,286,1,436,4,396,454,6,584
Yuma, AZ ,955,3,41,67,844,674,5,459,1,305,3,367,787,4,781
Arkansas, AR ,96,1,4,8,83,103,701,241,446,14,552
